track_uri,energy,album_release_year
spotify:track:3IvMYBE7A3c7to1aEcfFJk,0.824,2020
spotify:track:51g4mohrWYmBO7s2V2OVWY,0.783,2020
spotify:track:2FVsrYXCOdTVn7MTj0yupd,0.762,2020
spotify:track:7FlgWcLOubhQXsSUChLMPL,0.472,2020
spotify:track:0zpcGwpkk1Vn2wvZP9XCF9,0.571,2020
spotify:track:27vlgodvurZRA7ZoE0SYgW,0.698,2020
spotify:track:0y7NZkFE2vSlISSWOKs7FY,0.633,2020
spotify:track:16sWMhG5z99l7iHFxJ3zt9,0.468,2020
spotify:track:5wWzslCFGlDuhJ4oKgS8bc,0.501,2020
spotify:track:7elj3cJvac6NnDKcCOXflk,0.469,2020
spotify:track:6GVZ7A3IWkPNuG5FdcRE7O,0.466,2020
spotify:track:75VJBp3JE7W3oKoFeq1esH,0.446,2020
spotify:track:5R421oloEo7pgT1uuO6P5u,0.823,2020
spotify:track:4C1NLEUQTl3HKNP8DNjpMU,0.821,2020
spotify:track:3h4DgeqD7d2Pu8QF0j7NEH,0.385,2020
spotify:track:05aZ9sAU1YXndHv0FMi9iW,0.766,2020
spotify:track:1I55Ea0zVoSKs6MqW7DQ3i,0.792,2020
spotify:track:5TCBWmEBrin7etRa4Lswr1,0.82,2020
spotify:track:4wVOKKEHUJxHCFFNUWDn0B,0.449,2020
spotify:track:466cKvZn1j45IpxDdYZqdA,0.49,2020
spotify:track:7eYAHC0RbBF9eaqWzT34Aq,0.506,2020
spotify:track:3Q4gttWQ6hxqWOa3tHoTNi,0.452,2020
spotify:track:3KixNgUEaDtrKJVzdqjU5q,0.636,2020
spotify:track:5fHrHoJKfCgBd35zwIBmUK,0.706,2020
spotify:track:6Kj17Afjo1OKJYpf5VzCeo,0.373,2020
spotify:track:6fLVTVaHWaEfVKfEgbkf4D,0.57,2020
spotify:track:0YkUwXxnTkeJBvt5upeEtP,0.477,2020
spotify:track:5H4mXWKcicuLKDn4Jy0sK7,0.477,2020
spotify:track:37Nqx7iavZpotJSDXZWbJ3,0.438,2021
spotify:track:11pEKMLmavDu8fxOB5QjbQ,0.69,2021
spotify:track:61S79KIVA4I9FXbnsylEHT,0.385,2021
spotify:track:4VCbgIdr8ptegWeJpqLVHH,0.576,2021
spotify:track:40iJIUlhi6renaREYGeIDS,0.465,2021
spotify:track:0k1WUmIRnG3xU6fvvDVfRG,0.597,2021
spotify:track:4s7QLoImIwmPi9L6dq1nVW,0.56,2021
spotify:track:34D6FJysnQioVingDKufuf,0.429,2021
spotify:track:1PDP7mLiAMwhfmgIwzhOm2,0.161,2021
spotify:track:50ceCGZ3oD3U5caQV5bP6f,0.851,2021
spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,0.424,2021
spotify:track:42m3eP1JJhtzffal9B136J,0.531,2021
spotify:track:2Q3jFbyE61mCjS3SkW4toJ,0.635,2021
spotify:track:5ScbulRnixQ2XAdvrPMFjz,0.466,2021
spotify:track:7F9cT6hIRhnFCYP6GKS0tf,0.493,2021
spotify:track:3RkNXZvOSMMElmmXztDc94,0.416,2021
spotify:track:1cCXT1cErAY6tmIqHbodrt,0.53,2021
spotify:track:6jy9yJfgCsMHdu2Oz4BGKX,0.741,2021
spotify:track:2tUL6dZf1mywCj5WvCPZw6,0.744,2021
spotify:track:2HSmyk2qMN8WQjuGhaQgCk,0.667,2021
spotify:track:08XWh5c0BMyD1nKVxxl91z,0.485,2021
spotify:track:11iF95qtQrumQcy4npe4QP,0.411,2021
spotify:track:1Fkx6ahWYGP9IxEqCdmWXL,0.529,2021
spotify:track:7LSINVHqMXPt4FkTgcH6bt,0.662,2021
spotify:track:6C62fl8x0vzwxPqay8twie,0.735,2021
spotify:track:60kRxS2TC4qb2WBPmRmfv4,0.427,2021
spotify:track:7xXVDIulqmlBvDLFMfc3uX,0.368,2021
spotify:track:5uA5D9o5jGFuITTw3aXQgB,0.465,2021
spotify:track:7wcWkzT1X75DguAwOWxlGt,0.596,2021
spotify:track:5l856gqZcdS2qXQlNRAOh7,0.556,2021
spotify:track:0uMCmwW1C3rVTcjBUNHSdY,0.423,2021
spotify:track:7L8V5vHLo6fMbNaVI7rbhU,0.556,2021
spotify:track:7tm3zLZSI0OnvFtomZwhHk,0.162,2021
spotify:track:4Y8qNrph2WupGXYt1XyKN3,0.743,2021
spotify:track:38OxzrXfvFjyKWtgAkWdOK,0.358,2021
spotify:track:7jHorbrZa5KbYQVWKLehOd,0.52,2021
spotify:track:1HPLaUGGBXvkUYRVkQQmS9,0.63,2021
spotify:track:0TUl56yF7lX7jQb4nJoas8,0.485,2021
spotify:track:1bply5aur6hqqxlRJ2IpXP,0.464,2021
spotify:track:10zp3W3aiaANTCrHre0xx0,0.835,2021
spotify:track:7xD21cbP90eHHnA28Qkhpr,0.691,2021
spotify:track:7eqBsRv7eldDdDEA9MMl5C,0.477,2021
spotify:track:16MqFnJTHCWC67pv4ISyKl,0.497,2022
spotify:track:0qhX394bbCj1YzJGnLxqoP,0.521,2022
spotify:track:581wWhlbLcjFibO3wVcOmm,0.696,2022
spotify:track:7fmu4EBCET6RMnpDp3oZSC,0.53,2022
spotify:track:4GLWeHYEynOJA6bGJuw2N9,0.617,2022
spotify:track:30T2iUZvOVI8mU1KsWvEGY,0.716,2022
spotify:track:7y8oNMMKf0E7pgDeRGbsDf,0.516,2022
spotify:track:7ILkOgK9OHrrDj8lH8VXes,0.393,2022
spotify:track:6pQr9mnsAjBlBBdFLvsgY5,0.609,2022
spotify:track:5VfNDZtMfc6OB2ovMSHtnx,0.684,2022
spotify:track:174sDqEJUfQtUqDWZ8rMx6,0.433,2022
spotify:track:6n849Tolbsyapue50SlLWS,0.584,2022
spotify:track:736F3PTZVdvyge2fM8BEhM,0.248,2022
spotify:track:2KLwPaRDOB87XOYAT2fgxh,0.63,2022
spotify:track:46s57QULU02Voy0Kup6UEb,0.546,2022
spotify:track:34tz0eDhGuFErIuW3q4mPX,0.358,2022
spotify:track:0wshkEEcJUQU33RSRBb5dv,0.433,2022
spotify:track:7l2nxyx7IkBX5orhkALg0V,0.614,2022
spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,0.701,2022
spotify:track:0sSRLXxknVTQDStgU1NqpY,0.403,2022
spotify:track:4Flfb4fGscN9kXPOduQLrv,0.517,2022
spotify:track:7GeTsDIc5ykNB6lORO6Cee,0.605,2022
spotify:track:2xFZnXTDHOy5BH2gdlBEFi,0.372,2022
spotify:track:45pUWUeEWGoSdH6UF162G8,0.533,2022
spotify:track:410TZrK18uRjtsTunG14cl,0.703,2022
spotify:track:2ZlABhxMMa43COmZ97kKsJ,0.575,2022
spotify:track:29YW2xXlo6Pc6M0SBTCXYN,0.504,2022
spotify:track:1bDbXMyjaUIooNwFE9wn0N,0.52,2022
spotify:track:1VtoDGE3g3P1Bh7kjn6YrC,0.548,2022
spotify:track:7sT7kZEYd1MrmzLLIRVZas,0.276,2022
spotify:track:3F5CgOj3wFlRv51JsHbxhe,0.673,2022
spotify:track:1MTXYvJ9TSqg9x6WPCDx2n,0.692,2022
spotify:track:5lVmzrKaqPpPYtF7udoiNq,0.0218,2022
spotify:track:5zyZM1EiSqrniyqtprwxpv,0.758,2022
spotify:track:7a5fliY9SsZENrQWQBZron,0.627,2022
spotify:track:7IaeavdRzXYQWfu2Wt5GlU,0.283,2022
spotify:track:5frM7XSby6Pj2Chs9gaKxj,0.482,2022
spotify:track:1L3sTUdIBSNn0vjVgM6ZRp,0.259,2022
spotify:track:0C6ShwHWvn4JyvcJc1LjbS,0.492,2022
spotify:track:0oiv4E896TUTTeQU0cmIui,0.671,2022
spotify:track:23Z3bbYcl1PdcPJemLa4zc,0.41,2022
spotify:track:1MJHXJ8bdoynpEtCLCbkWf,0.645,2022
spotify:track:0PKpNkxX3FkcfgxCQUXXds,0.319,2022
spotify:track:5KW4KhJIAbVVSH6pJ4GPkb,0.688,2022
spotify:track:3AIhQTy1mehlOWJsurJ7PB,0.706,2022
spotify:track:5LYsEBLHY4PwmK1MRic1mr,0.664,2022
spotify:track:1kNdtonJXHorsVpWerK8C2,0.0218,2022
spotify:track:1vbn9fEyw1IYhqgZJdu9ZB,0.758,2022
spotify:track:4FIgHqXd4KkOwxrGeLDYM2,0.627,2022
spotify:track:1eCFz60zd7mAXgWLapPd9B,0.283,2022
spotify:track:0nAZGkBGKQCXyaoSJfRhC1,0.482,2022
spotify:track:4rmVZajAF7PkrCagGPHbqa,0.495,2022
spotify:track:28JBD8p18xNuOfyV7Cotdn,0.671,2022
spotify:track:6Yj7Zhxt73uvwFFvzQXdxO,0.41,2022
spotify:track:7hRlTK3mgFTBEjX7DjqBsI,0.645,2022
spotify:track:3N3d4OWbPVxTQVBFqNyykk,0.319,2022
spotify:track:1XsRwo2it6QHdV2OiT6IzF,0.688,2022
spotify:track:2vy9Ry1TNjCD85TiCbTz0r,0.706,2022
spotify:track:7uWIJXsugQIMaxcYXMxeZV,0.507,2022
spotify:track:31bsuKDOzFGzBAoXxtnAJm,0.34,2022
